Exchange,Precio,Fecha
ace,84188.65,2025-03-14 15:24:25
ascendex,83733.79,2025-03-14 15:24:28
bequant,83720.55,2025-03-14 15:24:30
bigone,83736.18,2025-03-14 15:24:34
binance,83769.2,2025-03-14 15:24:38
binanceus,84016.32,2025-03-14 15:24:40
bingx,83774.09,2025-03-14 15:24:44
bitbns,85000.0,2025-03-14 15:24:49
bitcoincom,83720.55,2025-03-14 15:24:51
bitfinex,83760.0,2025-03-14 15:24:54
bitfinex1,83772.0,2025-03-14 15:25:08
bitget,83850.53,2025-03-14 15:25:14
bitmart,83872.48,2025-03-14 15:25:22
bitmex,84000.0,2025-03-14 15:25:27
bitopro,83794.13,2025-03-14 15:25:28
bitrue,83905.05,2025-03-14 15:25:38
bitso,83955.0,2025-03-14 15:25:40
bitstamp,83825.0,2025-03-14 15:25:41
bitteam,77377.927498,2025-03-14 15:25:43
blockchaincom,83451.62,2025-03-14 15:25:45
btcalpha,83850.44,2025-03-14 15:25:48
btcmarkets,79023.24,2025-03-14 15:25:51
btcturk,83909.0,2025-03-14 15:25:52
bybit,83950.28,2025-03-14 15:26:02
cex,84548.0,2025-03-14 15:26:07
coinbase,83957.16,2025-03-14 15:26:08
coinbaseadvanced,83957.16,2025-03-14 15:26:10
coinbaseexchange,83957.16,2025-03-14 15:26:11
coincatch,83960.31,2025-03-14 15:26:16
coinex,83954.32,2025-03-14 15:26:21
coinlist,84001.08,2025-03-14 15:26:22
coinmate,77000.4,2025-03-14 15:26:23
coinmetro,83957.7119147725,2025-03-14 15:26:25
coinsph,83769.4,2025-03-14 15:26:28
cryptocom,83906.0,2025-03-14 15:26:29
cryptomus,84001.11,2025-03-14 15:26:31
delta,83780.0,2025-03-14 15:26:36
deribit,83919.0,2025-03-14 15:26:38
digifinex,84015.99,2025-03-14 15:26:44
exmo,84007.67,2025-03-14 15:26:49
fmfwio,83998.11,2025-03-14 15:26:52
gate,83994.6,2025-03-14 15:27:01
gateio,84004.6,2025-03-14 15:27:11
gemini,83781.69,2025-03-14 15:27:13
hashkey,83992.93,2025-03-14 15:27:17
hitbtc,83994.9,2025-03-14 15:27:20
hollaex,84515.55,2025-03-14 15:27:22
htx,83955.76,2025-03-14 15:27:27
huobi,83959.38,2025-03-14 15:27:34
indodax,84449.119996,2025-03-14 15:27:44
kraken,83975.3,2025-03-14 15:27:46
kucoin,83955.0,2025-03-14 15:27:49
lbank,83963.11,2025-03-14 15:28:13
luno,83722.0,2025-03-14 15:28:16
mexc,83973.99,2025-03-14 15:28:22
myokx,83972.7,2025-03-14 15:28:25
ndax,29869.01,2025-03-14 15:28:27
novadax,83973.99,2025-03-14 15:28:28
oceanex,83965.78,2025-03-14 15:28:31
okx,83990.5,2025-03-14 15:28:35
p2b,83959.85,2025-03-14 15:28:43
phemex,83832.22,2025-03-14 15:28:46
poloniex,83964.7,2025-03-14 15:28:48
probit,84025.3,2025-03-14 15:28:51
timex,83913.0,2025-03-14 15:28:54
tokocrypto,84000.0,2025-03-14 15:28:57
tradeogre,,2025-03-14 15:28:57
upbit,83896.14,2025-03-14 15:28:59
whitebit,83970.41,2025-03-14 15:29:03
xt,84012.6,2025-03-14 15:29:18
yobit,83978.34175531,2025-03-14 15:29:21
